Date,Season
2024-01-01,Winter
2024-01-02,Winter
2024-01-03,Winter
2024-01-04,Winter
2024-01-05,Winter
2024-01-06,Winter
2024-01-07,Winter
2024-01-08,Winter
2024-01-09,Winter
2024-01-10,Winter
2024-01-11,Winter
2024-01-12,Winter
2024-01-13,Winter
2024-01-14,Winter
2024-01-15,Winter
2024-01-16,Winter
2024-01-17,Winter
2024-01-18,Winter
2024-01-19,Winter
2024-01-20,Winter
2024-01-21,Winter
2024-01-22,Winter
2024-01-23,Winter
2024-01-24,Winter
2024-01-25,Winter
2024-01-26,Winter
2024-01-27,Winter
2024-01-28,Winter
2024-01-29,Winter
2024-01-30,Winter
2024-01-31,Winter
2024-02-01,Winter
2024-02-02,Winter
2024-02-03,Winter
2024-02-04,Winter
2024-02-05,Winter
2024-02-06,Winter
2024-02-07,Winter
2024-02-08,Winter
2024-02-09,Winter
2024-02-10,Winter
2024-02-11,Winter
2024-02-12,Winter
2024-02-13,Winter
2024-02-14,Winter
2024-02-15,Winter
2024-02-16,Winter
2024-02-17,Winter
2024-02-18,Winter
2024-02-19,Winter
2024-02-20,Winter
2024-02-21,Winter
2024-02-22,Winter
2024-02-23,Winter
2024-02-24,Winter
2024-02-25,Winter
2024-02-26,Winter
2024-02-27,Winter
2024-02-28,Winter
2024-02-29,Winter
2024-03-01,Spring
2024-03-02,Spring
2024-03-03,Spring
2024-03-04,Spring
2024-03-05,Spring
2024-03-06,Spring
2024-03-07,Spring
2024-03-08,Spring
2024-03-09,Spring
2024-03-10,Spring
2024-03-11,Spring
2024-03-12,Spring
2024-03-13,Spring
2024-03-14,Spring
2024-03-15,Spring
2024-03-16,Spring
2024-03-17,Spring
2024-03-18,Spring
2024-03-19,Spring
2024-03-20,Spring
2024-03-21,Spring
2024-03-22,Spring
2024-03-23,Spring
2024-03-24,Spring
2024-03-25,Spring
2024-03-26,Spring
2024-03-27,Spring
2024-03-28,Spring
2024-03-29,Spring
2024-03-30,Spring
2024-03-31,Spring
2024-04-01,Spring
2024-04-02,Spring
2024-04-03,Spring
2024-04-04,Spring
2024-04-05,Spring
2024-04-06,Spring
2024-04-07,Spring
2024-04-08,Spring
2024-04-09,Spring
2024-04-10,Spring
2024-04-11,Spring
2024-04-12,Spring
2024-04-13,Spring
2024-04-14,Spring
2024-04-15,Spring
2024-04-16,Spring
2024-04-17,Spring
2024-04-18,Spring
2024-04-19,Spring
2024-04-20,Spring
2024-04-21,Spring
2024-04-22,Spring
2024-04-23,Spring
2024-04-24,Spring
2024-04-25,Spring
2024-04-26,Spring
2024-04-27,Spring
2024-04-28,Spring
2024-04-29,Spring
2024-04-30,Spring
2024-05-01,Spring
2024-05-02,Spring
2024-05-03,Spring
2024-05-04,Spring
2024-05-05,Spring
2024-05-06,Spring
2024-05-07,Spring
2024-05-08,Spring
2024-05-09,Spring
2024-05-10,Spring
2024-05-11,Spring
2024-05-12,Spring
2024-05-13,Spring
2024-05-14,Spring
2024-05-15,Spring
2024-05-16,Spring
2024-05-17,Spring
2024-05-18,Spring
2024-05-19,Spring
2024-05-20,Spring
2024-05-21,Spring
2024-05-22,Spring
2024-05-23,Spring
2024-05-24,Spring
2024-05-25,Spring
2024-05-26,Spring
2024-05-27,Spring
2024-05-28,Spring
2024-05-29,Spring
2024-05-30,Spring
2024-05-31,Spring
2024-06-01,Summer
2024-06-02,Summer
2024-06-03,Summer
2024-06-04,Summer
2024-06-05,Summer
2024-06-06,Summer
2024-06-07,Summer
2024-06-08,Summer
2024-06-09,Summer
2024-06-10,Summer
2024-06-11,Summer
2024-06-12,Summer
2024-06-13,Summer
2024-06-14,Summer
2024-06-15,Summer
2024-06-16,Summer
2024-06-17,Summer
2024-06-18,Summer
2024-06-19,Summer
2024-06-20,Summer
2024-06-21,Summer
2024-06-22,Summer
2024-06-23,Summer
2024-06-24,Summer
2024-06-25,Summer
2024-06-26,Summer
2024-06-27,Summer
2024-06-28,Summer
2024-06-29,Summer
2024-06-30,Summer
2024-07-01,Summer
2024-07-02,Summer
2024-07-03,Summer
2024-07-04,Summer
2024-07-05,Summer
2024-07-06,Summer
2024-07-07,Summer
2024-07-08,Summer
2024-07-09,Summer
2024-07-10,Summer
2024-07-11,Summer
2024-07-12,Summer
2024-07-13,Summer
2024-07-14,Summer
2024-07-15,Summer
2024-07-16,Summer
2024-07-17,Summer
2024-07-18,Summer
